Website Link	Notes	
https://opurent.framer.website/	car speeding in the background like a video, beautiful product dash, the scroll cursor being represented with a red cirlce, overall beauty of the color pallette	
https://stratex.framer.website/	fade in effect of the big banner in the home page and the we've partnered with hover of logos, also the "proven process to achieve your goals section is a really nice layout", AND THE "OUR team" section rotating image bar. also the "services section of all the cards fading in and out with a 3d effect.	
https://plat-form.framer.ai/	the 3d dot animation in the back of the home page, large and interesting/ beautiful text. "we run your infrastructure so you can focus on building great products, the sentence writes itself as yous crolls down with the 3d blocks to the right of it is beautiful. the way our work fades in and has different prdouct parts moving with the modular feel. the exceptional beauty feel of the smart anyltiics the way all the charts and stuff flow together and howe verything is super dynamic. pricing model services and our work is also beautiful	Especially exceptional
https://draftr-wbs.framer.website/	The mockups of the product are exceptional and the color gradients are neat, love the way the boxes come together and the visuals in each box, as well as the dynamic diagrams, plus the beauty of the pricing model	
https://etery.framer.website/	love the way text is being typed as you move through the website, the "buyers" moving down the screen dynamically in the voice assistants, the tool integrations flowing in beautifully, and the our results numbers going up live, love the rotating client testimonial cards too, the why choose us check list and the interestingness of the text, and the nice format of our team	
https://ehunter.framer.website/	love the big text of the business in white blocks that come up, the background video of the two guys that comes up in super clear resolution as you scroll (this is beautiful), elegant project blocks, and nice black minimilastic colors	
https://agevia.framer.website/	i love the text on the front of the landing page and the text sliding in the bar. when you scroll down, the rotating questions in the "removing the roadblocks to your success" is really cool - having one row go left one go right etc. i also like the elegant icons, the numbers section, and the way the "our services" cards slide down in an animation where you're not actually moving down the page but hte cards are still changing, plus the images and icons tht are chosen have this elegant architecture feel. i love the our process part where each step is rotating around the globe as you scroll, and the with us versus the without us table, plus the artistic representation of the testimonials, and the re design of the standard faq section in a way that's beautiful, as well as the big logo at the bottom	
https://dreelio.framer.website/	3d element of the dashboard, moves towards you on the screen as you scroll down, beautiful bakgrounds with the cloud and the sky, love the way the image zooms out as you scroll down for mobile app and web app, love the way the customer reviews move horizontally, and the way everything fades in, love the project management visual  and the light color gradients of this think it's awesome	
https://arpeggio.framer.website/	love the way the big orange text of Arpeggio pans in right when you open with the big bold blue background of the woman, abd the background card of "design that captivates today and inspires tomorrow" card that feels like a movie theather preview. right after this section i love hw the rectangular components like Boreal pan out on the side of your screen as you scroll down, and the way different rectangular sections like Boreal VR headset and velocity motors take over the screen and cover each other as you croll down. love the way the numbers calculate in real time with the pac man eating it and the "what we do" section where it pans in to fill the whole screen with big text. also love the why chose us ection and the way the visuals numbers and rectangular cards all come together to be spectactularly beautiful and the modular look. love the inspiring client experiences sliding blocks of testimonials and the way in which you scroll all the way down, the bottom part becomes large and takes over the website - overall like this as a way to keep the website really dynamic	
https://plumbing.framer.media/	I love the consitent color layout, the simple layout of the whole web page, the very clear process on the website, etc. this is one of the most simple ones by far and applies greatly to our smb segment	
